course_id,course_name,credits,course_link,prerequisites
01:013:163,ELEMENTARY URDU II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/292-01-013-163-elementary-urdu-ii,01:013:162
01:013:176,ELEMENTARY PERSIAN I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/208-176-elementary-persian,
01:013:177,ELEMENTARY PERSIAN II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/209-177-elementary-persian,"{'logic': 'OR', 'requirements': ['01:013:176', '01:723:176']}"
01:013:181,ELEM SANSKRIT II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:180
01:013:186,ELEMENTARY SWAHILI I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/212-186-elementary-swahili,
01:013:187,ELEMENTARY SWAHILI II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/213-187-elementary-swahili,"{'logic': 'OR', 'requirements': ['01:013:186', '01:956:186']}"
01:013:190,ELEMENTARY TURKISH I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/215-190-elementary-turkish,
01:013:191,ELEMENTARY TURKISH II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/217-191-elementary-turkish,"{'logic': 'OR', 'requirements': ['01:013:190', '01:973:190']}"
01:013:192,ELEMENTARY TWI I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/216-01-013-192-elementary-twi-i,
01:013:193,ELEMENTARY TWI II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/218-01-013-193-elementary-twi-ii,01:013:192
01:013:194,ELEMENTARY YORUBA,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:195,ELEMENTARY YORUBA,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:194
01:013:201,"CLASSICAL LITERATURES OF AFRICA, THE MIDDLE EAST, AND SOUTH ASIA",3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/222-201-crossroads,
01:013:203,"LANGUAGE & SOCIETY IN AFRICA, THE MIDDLEEAST, AND SOUTH ASIA",3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/242-203-language-and-society,
01:013:204,INTRODUCTION TO DISCOURSE ANALYSIS,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/410-01-013-204-introduction-to-discourse-analysis,
01:013:205,CULTURAL FORCES IN INTERNATIONAL POLITICS,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/411-01-013-205-cultural-forces-in-international-politics,
01:013:206,BANNED BOOKS,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/485-01-013-206-banned-books,
01:013:208,JEWISH-MUSLIM RELATIONS: HISTORY AND CULTURE,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:210,WORLD LITERATURE AND SOCIAL CHANGE,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/526-013-210-world-literature-and-social-change,
01:013:211,INTRODUCTION TO THE LITERATURES OF AFRICA,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/224-211-introduction-african-literatures,
01:013:215,AFRICAN SHORT STORIES,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/412-01-013-215-african-short-stories,
01:013:217,AFRICAN IMMIGRANT LITERATURE,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/528-01-013-217-african-immigrant-literature,
01:013:220,INTRODUCTION TO THE QUR'AN,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:221,INTRODUCTION TO THE LITERATURES OF THE MIDDLE EAST,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/225-221-introduction-middle-east-literatures,
01:013:225,GLOBAL ARABIC,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/527-01-013-255-global-arabic,
01:013:226,RHYTHMS OF RESISTANCE: GLOBAL HIP HOP,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:229,WAR AND LITERATURE IN THE ARAB WORLD,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/413-01-013-229-war-and-literature-in-the-arab-world,
01:013:231,INTRO LIT OF SO ASIA,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/226-231-introduction-south-asian-literatures,
01:013:232,WOMEN WRITERS OF SOUTH ASIA,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/267-01-013-232-women-writers-of-south-asia,
01:013:240,INTERMEDIATE ARABIC I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/227-240-intermediate-arabic,"{'logic': 'OR', 'requirements': ['01:013:141', '01:013:145', '01:074:141', '01:074:145']}"
01:013:241,INTERMEDIATE ARABIC II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/228-241-intermediate-arabic,"{'logic': 'OR', 'requirements': ['01:013:240', '01:074:240']}"
01:013:242,CLASSICAL ARABIC I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/414-01-013-242-classical-arabic,"{'logic': 'OR', 'requirements': ['01:013:128', '01:013:141', '01:013:145', '01:074:141', '01:074:145', '01:685:128']}"
01:013:243,CLASSICAL ARABIC II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,"{'logic': 'OR', 'requirements': ['01:013:141', '01:074:141']}"
01:013:247,INTERMEDIATE BENGALI,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:246
01:013:252,INTERMED MOD HEBREW,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:156
01:013:253,INTERMED MOD HEBREW,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:156
01:013:260,INTERMEDIATE HINDI I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/231-260-intermediate-hindi,"{'logic': 'OR', 'requirements': ['01:013:161', '01:505:102', '01:505:161']}"
01:013:261,INTERMEDIATE HINDI II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/232-261-intermediate-hindi,"{'logic': 'OR', 'requirements': ['01:013:260', '01:505:201', '01:505:260']}"
01:013:276,INTERMEDIATE PERSIAN I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/233-276-intermediate-persian,"{'logic': 'OR', 'requirements': ['01:013:177', '01:723:177']}"
01:013:277,INTERMEDIATE PERSIAN II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/234-277-intermediate-persian,"{'logic': 'OR', 'requirements': ['01:013:276', '01:723:276']}"
01:013:280,INTERMED SANSKRIT I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:181
01:013:281,INTERMED SANSKRIT II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:280
01:013:285,LANGUAGE AND GLOBALIZATION,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/272-285-language-and-globalization,
01:013:286,INTERMEDIATE SWAHILI,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/237-286-intermediate-swahili,"{'logic': 'OR', 'requirements': ['01:013:106', '01:013:187', '01:956:187']}"
01:013:287,INTERMEDIATE SWAHILI,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/238-287-intermediate-swahili,"{'logic': 'OR', 'requirements': ['01:013:286', '01:956:286']}"
01:013:289,CULTURE OF LADINO: AN INTRODUCTION,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:290,INTERMEDIATE TURKISH I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/239-290-intermediate-turkish,"{'logic': 'OR', 'requirements': ['01:013:191', '01:973:191']}"
01:013:291,INTERMEDIATE TURKISH II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/240-291-intermediate-turkish,"{'logic': 'OR', 'requirements': ['01:013:290', '01:973:290']}"
01:013:292,INTERMEDIATE TWI I,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/289-01-013-292-intermediate-twi-i,"{'logic': 'OR', 'requirements': ['01:013:193', '01:974:193']}"
01:013:293,INTERMEDIATE TWI II,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/280-01-013-293-intermediate-twi-ii,01:013:292
01:013:294,INTERMEDIATE YORUBA,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:195
01:013:295,INTERMEDIATE YORUBA,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:294
01:013:301,"TOPICS IN AFRICAN, MIDDLE EASTERN, AND SOUTH ASIAN LANGUAGES AND LITERATURES",3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/241-301-topics,
01:013:302,"TOPICS IN AFRICAN, MIDDLE EASTERN AND SOUTH ASIAN LANGUAGES AND LITERATURES",1.5,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:304,INTRODUCTION TO TRANSLATION STUDIES,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/243-304-introduction-translation,
01:013:305,LANGUAGES IN PERIL,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/244-305-languages-in-peril,
01:013:307,INTRODUCTION TO POSTCOLONIAL LITERATURESAND THEORIES,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/273-307-postcolonial-lit,
01:013:308,MINORITIES IN THE MIDDLE EAST,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:311,WOMEN WRITERS OF AFRICA,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/415-01-013-311-women-writers-of-africa,
01:013:312,AFRICN FOLKLORE&MYTH,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/274-312-african-folklore,
01:013:314,ISLAM AND AFRICIAN LITERATURE,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/285-314-islam-african-literature,
01:013:320,OTTOMAN MIDDLE EAST,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/294-01-013-320-ottoman-middle-east,
01:013:321,INDEPENDENT STUDY,,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/245-321-independent-study,
01:013:322,MIDDLE EASTERN FOLKLORE AND MYTHOLOGY,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/275-322-mideast-folklore,
01:013:324,OTTOMAN AFRICA,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/276-324-ottoman-africa,
01:013:325,WOMEN WRITERS OF THE ARAB WORLD,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/296-01-013-325-women-writers-of-the-arab-world,
01:013:331,MOD LIT SOUTH ASIA,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/246-331-modern-literature-south-asia,
01:013:337,FILM AND LITERATURE IN SOUTH ASIA,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/416-01-013-337-film-and-literature-in-south-asia,
01:013:340,ADVANCED ARABIC I,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/247-340-advanced-arabic,"{'logic': 'OR', 'requirements': ['01:013:241', '01:074:241']}"
01:013:341,ADVANCED ARABIC II,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/248-01-013-341-advanced-arabic-ii,"{'logic': 'OR', 'requirements': ['01:013:340', '01:074:340']}"
01:013:342,MODERN ARABIC LITERATURE,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/277-342-modern-arabic-lit,
01:013:346,LITERATURE AND MEMORY IN THE ARAB WORLD,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/278-346-lit-and-memory-arab-world,
01:013:352,ADV MODERN HEBREW,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:252
01:013:353,ADV MODERN HEBREW,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:253
01:013:360,ADVANCED HINDI I,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/252-360-advanced-hindi,"{'logic': 'OR', 'requirements': ['01:013:261', '01:505:202', '01:505:261']}"
01:013:361,ADVANCED HINDI II,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/253-361-advanced-hindi,"{'logic': 'OR', 'requirements': ['01:013:360', '01:505:360']}"
01:013:365,BOLLYWOOD,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/279-365-bollywood,
01:013:376,ADVANCED PERSIAN,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/254-376-advanced-persian,"{'logic': 'OR', 'requirements': ['01:013:277', '01:723:277']}"
01:013:377,ADVANCED PERSIAN,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:376
01:013:387,ADVANCED SWAHILI,4.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,"{'logic': 'OR', 'requirements': ['01:013:386', '01:967:386']}"
01:013:390,ADVANCED TURKISH,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/486-01-013-390-advanced-turkish-i-3,"{'logic': 'OR', 'requirements': ['01:013:291', '01:973:291']}"
01:013:391,ADVANCED TURKISH,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,"{'logic': 'OR', 'requirements': ['01:013:390', '01:973:390']}"
01:013:392,ADVANCED TWI I,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/286-01-013-392-advanced-twi-i,"{'logic': 'OR', 'requirements': ['01:013:293', '01:974:293']}"
01:013:393,ADVANCED TWI II,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/417-01-013-393-advanced-twi-ii-3-spring,01:013:392
01:013:401,SENIOR SEMINAR IN LITERATURE AND SOCIETY,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/259-401-senior-seminar,
01:013:402,ADV TOP IN AMESALL,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,01:013:341
01:013:403,TRANSLATION PRACTICUM I,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,"{'logic': 'OR', 'requirements': [{'logic': 'AND', 'requirements': ['01:013:304', '01:013:341']}, {'logic': 'AND', 'requirements': ['01:013:304', '01:013:361']}, {'logic': 'AND', 'requirements': ['01:013:304', '01:013:377']}]}"
01:013:405,UGARITIC,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:421,HIEROGLYPHIC EGYPTIAN I,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/520-01-013-421-hieroglyphic-egyptian,
01:013:422,HIEROGLYPHIC EGYPTIAN II,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions,
01:013:430,GENDER NATION AND LITERATURE IN SOUTH ASIA,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/266-01-013-430-gender-nation-and-literature-in-south-asia,
01:013:433,MODERN URDU LITERATURE AND POPULAR CULTURE,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/293-01-013-433-modern-urdu-literature-and-culture,
01:013:442,READINGS IN MODERN ARABIC LITERATURE,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/284-442-readings-modern-arabic-literature,01:013:341
01:013:445,STORYTELLING IN THE MUSLIM WORLD,3.0,https://www.amesall.rutgers.edu/academics/undergraduate-program/course-descriptions/course-descriptions-details/297-01-013-445-storytelling-in-the-muslim-world,01:013:201
01:014:101,TOPICS IN AFRICANA STUDIES,1.5,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,
01:014:103,INTRODUCTION TO AFRICANA STUDIES,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/98-the-black-experience-through-culture/229-01-014-103-introduction-to-africana-studies,
01:014:130,AFRICAN-AMERICAN LITERATURE,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/95-overviews-introduction/400-01-014-130-african-american-literature,
01:014:132,BLACK EXPERIENCE AND FILM MEDIUM,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/98-the-black-experience-through-culture/242-01-014-132-black-experience-and-film-medium,
01:014:140,INTRODUCTION TO AMERICAN CULTURES,1.5,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/95-overviews-introduction/231-01-014-140-intro-to-american-cultures-1-5-credits,
01:014:201,AFRICAN BELIEF SYSTEMS IN THE LATINX COMMUNITY,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,
01:014:202,WHAT EVERYONE SHOULD KNOW ABOUT 'RACE',3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/95-overviews-introduction/232-01-014-202-what-everyone-should-know-about-race,
01:014:203,BLACK EXPERIENCE IN AMERICA,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/95-overviews-introduction/230-01-014-203-the-black-experience-in-america-core-ccd,
01:014:206,THE BLACK WOMAN,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/97-black-sociology-economics-politics/264-01-014-206-the-black-woman,
01:014:207,BLACK MALE IDENTITY IN THE UNITED STATES,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/97-black-sociology-economics-politics/237-01-014-207-the-black-male-identity-in-the-us-core-ccd,
01:014:210,AFRICA: CONTINENT OF THE FUTURE?,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,
01:014:211,EXPERIMENTAL BLACKNESS,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,01:640:026
01:014:214,FEELING RACE: THE EMOTIONAL POLITICS OF RACE,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,
01:014:223,INDEPENDENT STUDY,,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/101-seminars-honors-original-projects/253-01-014-223-independent-study,
01:014:224,INDEPENDENT STUDY,,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/101-seminars-honors-original-projects/275-01-014-224-independent-study,
01:014:233,INTRODUCTION TO RESEARCH IN AFRICANA STUDIES,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/95-overviews-introduction/233-01-014-233-intro-to-the-methodology-of-africana-studies,
01:014:250,AFRICAN DIASPORA CULTURAL HISTORY,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/96-black-communities-around-the-world-international-contexts/307-01-014-250-african-diaspora-cultural-history-core-ah,
01:014:264,BLACK LIVES MATTER,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,
01:014:265,AFRO-BRAZILIAN HISTORY,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/96-black-communities-around-the-world-international-contexts/235-01-014-265-afro-brazilian-history-core-hst,
01:014:286,MENTORING AS A PUBLIC SERVICE I,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/100-hands-on-africana-in-action/249-01-014-286-mentoring-as-public-service,
01:014:302,TOPICS IN AFRICANA STUDIES,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,
01:014:304,AFROMUSICOLOGY,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/98-the-black-experience-through-culture/244-01-014-304-afromusicology,
01:014:305,"RACE, INTERNATIONAL LAW AND EMPIRE",3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/96-black-communities-around-the-world-international-contexts/263-01-014-302-05-topics-in-africana-studies-section-5-race-international-law-and-empire,
01:014:306,THE BLACK WOMEN IN POLITICAL CONTEXT,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/97-black-sociology-economics-politics/238-01-014-306-black-women-in-political-context,
01:014:307,AFRICANA COMMUNITY HEALTH INTERNSHIP,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/100-hands-on-africana-in-action/348-01-014-307-africana-community-health-internship,01:014:347
01:014:317,BLACK PROFILES,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/98-the-black-experience-through-culture/246-01-014-317-black-profiles-in-humor-and-entertainment,
01:014:332,AFRICAN RELIGIONS,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,
01:014:340,3RD WORLD WRTG &CRIT,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,01:014:130
01:014:341,SUPERVISED COMMUNITY PLACEMENT,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/100-hands-on-africana-in-action/250-01-014-341-supervised-community-placement,
01:014:347,HEALTH ISSUES IN THE AFRICAN-AMERICAN COMMUNITY,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/99-africana-experience-in-science-and-technology/248-01-014-347-health-issues-in-the-african-american-community,
01:014:353,BLACK COMMUNITY LAW AND SOCIAL CHANGE,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/97-black-sociology-economics-politics/267-01-014-353-black-community-law-and-social-change-core-ccd,
01:014:362,"BLACK IDENTITY, RELIGION AND POLITICS",3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/97-black-sociology-economics-politics/240-01-014-362-black-identity-religion-and-politics,
01:014:365,BLACK MIGRATION AND URBANIZATION,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,
01:014:369,BLACK THEOLOGY,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,
01:014:370,AFRO-ATLANTIC  DIASPORA,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/96-black-communities-around-the-world-international-contexts/260-01-014-370-afro-atlantic-diaspora-core-hst,
01:014:371,THE NEW SCRAMBLE FOR AFRICA,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions,
01:014:376,PAN AFRICAN MOVEMENT,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/96-black-communities-around-the-world-international-contexts/262-01-014-376-pan-african-movement,
01:014:380,BLACKS IN SCIENCE,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/99-africana-experience-in-science-and-technology/247-01-014-380-blacks-in-science,
01:014:385,MENTORING AS A PUBLIC SERVICE II,3.0,https://africanastudies.rutgers.edu/academics/undergraduate/course-descriptions/course-descriptions-list/100-hands-on-africana-in-action/274-01-014-385-mentoring-as-public-service-ii,
